Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Amazon_TestSuite_ValidateSearchFieldItem_002,Chrome 121.0.6167.141,,,2024-02-08 00:04:11,2024-02-08 00:04:37,26.288s,PASSED
,,,,,,,
Test Cases/TC_Amazon_ValidateSearchFieldItem_002,Chrome 121.0.6167.141,,,2024-02-08 00:04:11,2024-02-08 00:04:37,26.027s,PASSED
"openBrowser("""")",Chrome 121.0.6167.141,,,2024-02-08 00:04:12,2024-02-08 00:04:14,2.497s,PASSED
"navigateToUrl(""https://www.amazon.com/"")",Chrome 121.0.6167.141,,,2024-02-08 00:04:14,2024-02-08 00:04:19,5.156s,PASSED
"selectOptionByLabel(findTestObject(""AmazonPages/Amazon_ValidateSearchFieldItem_OR/select_All Departments""), Books, false)",Chrome 121.0.6167.141,,,2024-02-08 00:04:19,2024-02-08 00:04:20,0.471s,PASSED
"click(findTestObject(""AmazonPages/Amazon_ValidateSearchFieldItem_OR/input_Search Amazon_field-keywords""))",Chrome 121.0.6167.141,,,2024-02-08 00:04:20,2024-02-08 00:04:20,0.234s,PASSED
"setText(findTestObject(""AmazonPages/Amazon_ValidateSearchFieldItem_OR/input_Search Amazon_field-keywords""), ""Da vin ci code"")",Chrome 121.0.6167.141,,,2024-02-08 00:04:20,2024-02-08 00:04:21,0.412s,PASSED
"click(findTestObject(""AmazonPages/Amazon_ValidateSearchFieldItem_OR/input_Search Amazon_nav-search-submit-button""))",Chrome 121.0.6167.141,,,2024-02-08 00:04:21,2024-02-08 00:04:24,3.201s,PASSED
"selectOptionByLabel(findTestObject(""AmazonPages/Amazon_ValidateSearchFieldItem_OR/select_All Departments""), Electronics, false)",Chrome 121.0.6167.141,,,2024-02-08 00:04:24,2024-02-08 00:04:24,0.318s,PASSED
"click(findTestObject(""AmazonPages/Amazon_ValidateSearchFieldItem_OR/input_Search Amazon_field-keywords""), STOP_ON_FAILURE)",Chrome 121.0.6167.141,,,2024-02-08 00:04:24,2024-02-08 00:04:24,0.298s,PASSED
"setText(findTestObject(""AmazonPages/Amazon_ValidateSearchFieldItem_OR/input_Search Amazon_field-keywords""), ""Mobile Phones"")",Chrome 121.0.6167.141,,,2024-02-08 00:04:24,2024-02-08 00:04:25,0.503s,PASSED
"click(findTestObject(""AmazonPages/Amazon_ValidateSearchFieldItem_OR/input_Search Amazon_nav-search-submit-button""))",Chrome 121.0.6167.141,,,2024-02-08 00:04:25,2024-02-08 00:04:28,2.707s,PASSED
"selectOptionByLabel(findTestObject(""AmazonPages/Amazon_ValidateSearchFieldItem_OR/select_All Departments""), All_departments, false)",Chrome 121.0.6167.141,,,2024-02-08 00:04:28,2024-02-08 00:04:28,0.345s,PASSED
"click(findTestObject(""AmazonPages/Amazon_ValidateSearchFieldItem_OR/input_Search Amazon_field-keywords""), STOP_ON_FAILURE)",Chrome 121.0.6167.141,,,2024-02-08 00:04:28,2024-02-08 00:04:28,0.241s,PASSED
"setText(findTestObject(""AmazonPages/Amazon_ValidateSearchFieldItem_OR/input_Search Amazon_field-keywords""), ""Washing Machines"")",Chrome 121.0.6167.141,,,2024-02-08 00:04:28,2024-02-08 00:04:29,0.471s,PASSED
"click(findTestObject(""AmazonPages/Amazon_ValidateSearchFieldItem_OR/input_Search Amazon_nav-search-submit-button""))",Chrome 121.0.6167.141,,,2024-02-08 00:04:29,2024-02-08 00:04:32,2.900s,PASSED
"selectOptionByLabel(findTestObject(""AmazonPages/Amazon_ValidateSearchFieldItem_OR/select_All Departments""), Furniture, false)",Chrome 121.0.6167.141,,,2024-02-08 00:04:32,2024-02-08 00:04:32,0.282s,PASSED
"click(findTestObject(""AmazonPages/Amazon_ValidateSearchFieldItem_OR/input_Search Amazon_field-keywords""), STOP_ON_FAILURE)",Chrome 121.0.6167.141,,,2024-02-08 00:04:32,2024-02-08 00:04:32,0.260s,PASSED
"setText(findTestObject(""AmazonPages/Amazon_ValidateSearchFieldItem_OR/input_Search Amazon_field-keywords""), ""Wooden Tables"")",Chrome 121.0.6167.141,,,2024-02-08 00:04:32,2024-02-08 00:04:33,0.481s,PASSED
"click(findTestObject(""AmazonPages/Amazon_ValidateSearchFieldItem_OR/input_Search Amazon_nav-search-submit-button""))",Chrome 121.0.6167.141,,,2024-02-08 00:04:33,2024-02-08 00:04:36,3.268s,PASSED
closeBrowser(),Chrome 121.0.6167.141,,,2024-02-08 00:04:36,2024-02-08 00:04:37,1.320s,PASSED
