Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Amazon_TestSuite_ValidateSearchFieldItem_002,Chrome 121.0.0.0,,,2024-02-07 23:55:41,2024-02-07 23:56:35,54.626s,PASSED
,,,,,,,
Test Cases/TC_Amazon_ValidateSearchFieldItem_002,Chrome 121.0.0.0,,,2024-02-07 23:55:41,2024-02-07 23:56:35,54.392s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,2024-02-07 23:55:42,2024-02-07 23:55:44,2.541s,PASSED
"navigateToUrl(""https://www.amazon.com/"")",Chrome 121.0.0.0,,,2024-02-07 23:55:44,2024-02-07 23:55:46,1.802s,PASSED
"selectOptionByLabel(findTestObject(""AmazonPages/Amazon_ValidateSearchFieldItem_OR/select_All Departments""), Books, false)",Chrome 121.0.0.0,,,2024-02-07 23:55:46,2024-02-07 23:55:49,3.047s,PASSED
"click(findTestObject(""AmazonPages/Amazon_ValidateSearchFieldItem_OR/input_Search Amazon_field-keywords""))",Chrome 121.0.0.0,,,2024-02-07 23:55:49,2024-02-07 23:55:50,0.560s,PASSED
"setText(findTestObject(""AmazonPages/Amazon_ValidateSearchFieldItem_OR/input_Search Amazon_field-keywords""), ""Da vin ci code"")",Chrome 121.0.0.0,,,2024-02-07 23:55:50,2024-02-07 23:55:51,1.577s,PASSED
"click(findTestObject(""AmazonPages/Amazon_ValidateSearchFieldItem_OR/input_Search Amazon_nav-search-submit-button""))",Chrome 121.0.0.0,,,2024-02-07 23:55:51,2024-02-07 23:55:57,5.548s,PASSED
"selectOptionByLabel(findTestObject(""AmazonPages/Amazon_ValidateSearchFieldItem_OR/select_All Departments""), Electronics, false)",Chrome 121.0.0.0,,,2024-02-07 23:55:57,2024-02-07 23:55:58,1.168s,PASSED
"click(findTestObject(""AmazonPages/Amazon_ValidateSearchFieldItem_OR/input_Search Amazon_field-keywords""), STOP_ON_FAILURE)",Chrome 121.0.0.0,,,2024-02-07 23:55:58,2024-02-07 23:55:59,0.864s,PASSED
"setText(findTestObject(""AmazonPages/Amazon_ValidateSearchFieldItem_OR/input_Search Amazon_field-keywords""), ""Mobile Phones"")",Chrome 121.0.0.0,,,2024-02-07 23:55:59,2024-02-07 23:56:00,1.226s,PASSED
"click(findTestObject(""AmazonPages/Amazon_ValidateSearchFieldItem_OR/input_Search Amazon_nav-search-submit-button""))",Chrome 121.0.0.0,,,2024-02-07 23:56:00,2024-02-07 23:56:08,7.728s,PASSED
"selectOptionByLabel(findTestObject(""AmazonPages/Amazon_ValidateSearchFieldItem_OR/select_All Departments""), All_departments, false)",Chrome 121.0.0.0,,,2024-02-07 23:56:08,2024-02-07 23:56:11,3.764s,PASSED
"click(findTestObject(""AmazonPages/Amazon_ValidateSearchFieldItem_OR/input_Search Amazon_field-keywords""), STOP_ON_FAILURE)",Chrome 121.0.0.0,,,2024-02-07 23:56:11,2024-02-07 23:56:12,0.548s,PASSED
"setText(findTestObject(""AmazonPages/Amazon_ValidateSearchFieldItem_OR/input_Search Amazon_field-keywords""), ""Washing Machines"")",Chrome 121.0.0.0,,,2024-02-07 23:56:12,2024-02-07 23:56:19,6.692s,PASSED
"click(findTestObject(""AmazonPages/Amazon_ValidateSearchFieldItem_OR/input_Search Amazon_nav-search-submit-button""))",Chrome 121.0.0.0,,,2024-02-07 23:56:19,2024-02-07 23:56:25,6.136s,PASSED
"selectOptionByLabel(findTestObject(""AmazonPages/Amazon_ValidateSearchFieldItem_OR/select_All Departments""), Furniture, false)",Chrome 121.0.0.0,,,2024-02-07 23:56:25,2024-02-07 23:56:26,1.448s,PASSED
"click(findTestObject(""AmazonPages/Amazon_ValidateSearchFieldItem_OR/input_Search Amazon_field-keywords""), STOP_ON_FAILURE)",Chrome 121.0.0.0,,,2024-02-07 23:56:26,2024-02-07 23:56:27,0.650s,PASSED
"setText(findTestObject(""AmazonPages/Amazon_ValidateSearchFieldItem_OR/input_Search Amazon_field-keywords""), ""Wooden Tables"")",Chrome 121.0.0.0,,,2024-02-07 23:56:27,2024-02-07 23:56:28,1.213s,PASSED
"click(findTestObject(""AmazonPages/Amazon_ValidateSearchFieldItem_OR/input_Search Amazon_nav-search-submit-button""))",Chrome 121.0.0.0,,,2024-02-07 23:56:28,2024-02-07 23:56:34,6.145s,PASSED
closeBrowser(),Chrome 121.0.0.0,,,2024-02-07 23:56:34,2024-02-07 23:56:35,1.200s,PASSED
